YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-09,WEEKDAY,10,TRAIN,NS15,14564,10092
2024-09,WEEKDAY,14,TRAIN,NE12/CC13,58430,57054
2024-09,WEEKDAY,14,TRAIN,NS5,22584,23041
2024-09,WEEKDAY,19,TRAIN,SW2,6147,11089
2024-09,WEEKDAY,12,TRAIN,BP11,3109,2027
2024-09,WEEKDAY,23,TRAIN,CC4/DT15,11802,1735
2024-09,WEEKDAY,23,TRAIN,NS21/DT11,22280,23248
2024-09,WEEKDAY,6,TRAIN,DT34,4242,2462
2024-09,WEEKDAY,7,TRAIN,EW22,12170,18774
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,NE14,7084,17227
2024-09,WEEKDAY,16,TRAIN,EW11,19518,17921
2024-09,WEEKDAY,23,TRAIN,DT22,4864,5712
2024-09,WEEKDAY,18,TRAIN,BP4,3419,5376
2024-09,WEEKDAY,0,TRAIN,NS13,1452,8686
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,DT22,6393,9732
2024-09,WEEKDAY,11,TRAIN,NS27/CE2/TE20,5370,5404
2024-09,WEEKDAY,15,TRAIN,CC14,10786,7404
2024-09,WEEKDAY,23,TRAIN,EW23,7414,13015
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,BP5,975,948
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,EW5,17062,21411
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,NE13,1396,5054
2024-09,WEEKENDS/HOLIDAY,10,TRAIN,DT25,2300,1255
2024-09,WEEKENDS/HOLIDAY,10,TRAIN,CC16,3098,3170
2024-09,WEEKDAY,14,TRAIN,DT28,6210,6879
2024-09,WEEKDAY,5,TRAIN,DT24,1715,13
2024-09,WEEKENDS/HOLIDAY,8,TRAIN,DT20,1295,2566
2024-09,WEEKDAY,5,TRAIN,SW1,241,158
2024-09,WEEKDAY,19,TRAIN,NS24/NE6/CC1,68149,50669
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,NS15,5723,4871
2024-09,WEEKDAY,16,TRAIN,DT18,19700,8661
2024-09,WEEKDAY,10,TRAIN,CC19/DT9,5362,7655
2024-09,WEEKDAY,15,TRAIN,EW32,3330,1242
2024-09,WEEKDAY,11,TRAIN,DT29,6615,2757
2024-09,WEEKDAY,16,TRAIN,CC8,11174,8368
2024-09,WEEKDAY,6,TRAIN,EW22,5214,5616
2024-09,WEEKDAY,19,TRAIN,NS27/CE2/TE20,20780,5191
2024-09,WEEKDAY,16,TRAIN,TE12,9208,3808
2024-09,WEEKENDS/HOLIDAY,6,TRAIN,EW9,10512,2101
2024-09,WEEKENDS/HOLIDAY,19,TRAIN,NE10,6476,8085
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,NS14,15872,10714
2024-09,WEEKENDS/HOLIDAY,6,TRAIN,EW29,2548,7604
2024-09,WEEKENDS/HOLIDAY,11,TRAIN,EW15,7031,12386
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,TE26,9135,7271
2024-09,WEEKENDS/HOLIDAY,7,TRAIN,PW3,1095,1127
2024-09,WEEKDAY,5,TRAIN,TE18,231,9
2024-09,WEEKDAY,23,TRAIN,TE12,1037,532
2024-09,WEEKDAY,22,TRAIN,BP4,675,1828
2024-09,WEEKENDS/HOLIDAY,22,TRAIN,CC20,587,1643
2024-09,WEEKENDS/HOLIDAY,5,TRAIN,EW20,301,82
2024-09,WEEKDAY,6,TRAIN,EW16/NE3/TE17,14415,39098
2024-09,WEEKDAY,15,TRAIN,EW12/DT14,61282,59121
2024-09,WEEKDAY,14,TRAIN,NE7/DT12,25812,29659
2024-09,WEEKDAY,14,TRAIN,DT24,4064,4101
2024-09,WEEKDAY,18,TRAIN,PE2,5828,13094
2024-09,WEEKDAY,5,TRAIN,NS17/CC15,5318,1018
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,NS10,20783,12136
2024-09,WEEKENDS/HOLIDAY,13,TRAIN,EW8/CC9,32996,32871
2024-09,WEEKENDS/HOLIDAY,6,TRAIN,TE24,234,221
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,TE23,1663,1782
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,EW10,6535,7364
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,PE2,3173,2194
2024-09,WEEKENDS/HOLIDAY,19,TRAIN,NS3,6850,10653
2024-09,WEEKENDS/HOLIDAY,11,TRAIN,EW16/NE3/TE17,11076,12615
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,EW3,8641,8088
2024-09,WEEKENDS/HOLIDAY,19,TRAIN,BP9,634,1135
2024-09,WEEKENDS/HOLIDAY,16,TRAIN,NS18,5766,6204
2024-09,WEEKDAY,21,TRAIN,SE1,1363,6338
2024-09,WEEKDAY,13,TRAIN,BP2,2997,2121
2024-09,WEEKENDS/HOLIDAY,19,TRAIN,DT20,3415,3450
2024-09,WEEKDAY,5,TRAIN,PW6,645,14
2024-09,WEEKENDS/HOLIDAY,6,TRAIN,CC20,755,488
2024-09,WEEKDAY,19,TRAIN,EW17,28307,53698
2024-09,WEEKDAY,9,TRAIN,CC2,2385,15949
2024-09,WEEKDAY,20,TRAIN,EW25,9136,17999
2024-09,WEEKDAY,7,TRAIN,TE26,8594,4553
2024-09,WEEKDAY,17,TRAIN,BP12,3360,3577
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,EW20,4903,4420
2024-09,WEEKENDS/HOLIDAY,16,TRAIN,DT10,2264,1509
2024-09,WEEKDAY,12,TRAIN,SE1,4840,3145
2024-09,WEEKDAY,11,TRAIN,DT6,8008,7951
2024-09,WEEKDAY,16,TRAIN,CC7,8843,7476
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,CC28,856,2558
2024-09,WEEKENDS/HOLIDAY,13,TRAIN,NE4/DT19,32401,36592
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,NS10,9112,20564
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,PW6,782,672
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,EW5,15722,16103
2024-09,WEEKENDS/HOLIDAY,13,TRAIN,EW29,5557,3648
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,BP4,780,931
2024-09,WEEKDAY,13,TRAIN,CC28,3514,2840
2024-09,WEEKDAY,10,TRAIN,CC3,2573,13012
2024-09,WEEKDAY,6,TRAIN,BP8,4261,3082
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,BP5,1184,866
2024-09,WEEKDAY,0,TRAIN,NS7,768,2564
2024-09,WEEKDAY,14,TRAIN,DT34,3563,4838
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,BP4,731,835
2024-09,WEEKENDS/HOLIDAY,0,TRAIN,NS17/CC15,244,1024
2024-09,WEEKENDS/HOLIDAY,0,TRAIN,CC16,20,243
2024-09,WEEKDAY,13,TRAIN,NE8,30889,28049
2024-09,WEEKDAY,11,TRAIN,EW21/CC22,25491,21461
2024-09,WEEKDAY,16,TRAIN,NE8,29291,30465
2024-09,WEEKDAY,6,TRAIN,EW5,39330,15347
2024-09,WEEKDAY,22,TRAIN,TE3,2665,11035
2024-09,WEEKDAY,8,TRAIN,EW25,37105,11900
2024-09,WEEKDAY,14,TRAIN,CC5,4501,5512
2024-09,WEEKDAY,12,TRAIN,TE14/NS22,55740,104990
2024-09,WEEKDAY,13,TRAIN,PW6,1895,2017
2024-09,WEEKDAY,6,TRAIN,EW32,4794,10432
2024-09,WEEKDAY,11,TRAIN,CC23,11562,14673
2024-09,WEEKDAY,20,TRAIN,TE13,4978,2661
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,EW19,9923,6443
2024-09,WEEKDAY,11,TRAIN,BP13,1319,547
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,NS20,16832,13130
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,NS23,26748,6658
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,CC12,4459,2455
